SUID,tf,interaction,target,confidence_score
5980,FOSL,negative_KC,TWSG1,-1.854906547
5981,FOSL,positive_KC,TXK,1.954331579
5982,FOSL,negative_KC,TXNRD1,-1.626496712
5983,FOSL,negative_KC,UBASH3A,-1.885178518
5984,FOSL,positive_KC,UBE2H,1.803782459
5985,FOSL,positive_KC,UBTD1,1.798179372
5986,FOSL,positive_KC,UCP2,1.525504187
5987,FOSL,negative_KC,UPB1,-1.913245443
5988,FOSL,positive_KC,UPP1,1.957049782
5989,FOSL,positive_KC,USP28,1.817745744
5990,FOSL,positive_KC,UST,1.81312227
5991,FOSL,positive_KC,UTRN,1.927326854
5992,FOSL,negative_KC,VCL,-1.964802504
5993,FOSL,positive_KC,VPS13C,1.760140171
5994,FOSL,positive_KC,VPS37B,1.677099579
5995,FOSL,positive_KC,VWA1,1.931442475
5996,FOSL,positive_KC,WDR67,1.673124551
5997,FOSL,positive_KC,WDR81,1.797672942
5998,FOSL,positive_KC,WHSC1L1,1.600152367
5999,FOSL,positive_KC,WWP1,1.872671795
6000,FOSL,negative_KC,YDJC,-1.592522334
6001,FOSL,positive_KC,YPEL5,1.920055372
6002,FOSL,positive_KC,ZBP1,1.548459523
6003,FOSL,positive_KC,ZDHHC18,1.731202042
6004,FOSL,positive_KC,ZER1,1.793362248
6005,FOSL,positive_KC,ZFP219,1.922539772
6006,FOSL,positive_KC,ZFP292,1.719494311
6007,FOSL,positive_KC,ZFP395,1.594683487
6008,FOSL,positive_KC,ZFP52,1.893947228
6009,FOSL,positive_KC,ZFP53,1.507926397
6010,FOSL,positive_KC,ZKSCAN6,1.597220539
6011,FOSL,positive_KC,ZMYM6,1.79538467
6012,FOSL,negative_KC,ZMYND19,-1.632847803
6013,FOSL,positive_KC,ZNRF1,1.857219277
6014,FOSL,positive_KC,ZSWIM4,1.867645622
6015,FOSL,negative_KC,ZSWIM6,-1.735578781
6016,FOSL,negative_KC,ZYX,-1.760253956
6017,STAT,positive_KC,1190002H23RIK,1.841953524
6018,STAT,positive_KC,1700025G04RIK,1.741573693
6019,STAT,positive_KC,2010002N04RIK,1.941118519
6020,STAT,positive_KC,2210403K04RIK,1.656658069
6021,STAT,positive_KC,2310004I24RIK,1.921469721
6022,STAT,positive_KC,2310007L24RIK,1.523292265
6023,STAT,positive_KC,2310016C08RIK,1.719269487
6024,STAT,positive_KC,4632428N05RIK,1.721464591
6025,STAT,positive_KC,4930417O13RIK,1.727344065
6026,STAT,positive_KC,4932438H23RIK,1.853194692
6027,STAT,positive_KC,A430093F15RIK,1.972198908
6028,STAT,negative_KC,AA465934,-1.869824492
6029,STAT,positive_KC,AI504432,1.611041707
6030,STAT,negative_KC,AW112010,-1.656342074
6031,STAT,positive_KC,ABI3,1.901448483
6032,STAT,positive_KC,ABTB1,1.686870582
6033,STAT,positive_KC,ABTB2,1.941908823
6034,STAT,negative_KC,ACSL6,-1.740752013
6035,STAT,positive_KC,ADAM15,1.663778893
6036,STAT,positive_KC,ADAM19,1.973425457
6037,STAT,positive_KC,ADARB1,1.945045044
